Country,Culture,Language,Genre_Album,Year,SampleAudio,CatalogNumber,songurls_Album,Instrument,Distance,Outlier
Greece,,,World,1981.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW34025/FW34025_03.mp3,FW34025_103,http://www.folkways.si.edu/periklis-halkias/singathisto-konitsiotiko/world/music/track/smithsonian,Clarinet,33.0967219883,0
Russia,,,World,1993.0,http://media.smithsonianfolkways.org/audio/samples/monitor/MON71560/MON71560_09.mp3,MON71560_109,http://www.folkways.si.edu/sergei-iakovlevich-lemeshev-and-the-osipov-balalaika-orchestra/at-the-gate/world/music/track/smithsonian,nan,13.5880102423,0
Spain,,,World,1959.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW08829/FW08829_06.mp3,FW08829_201,http://www.folkways.si.edu/nino-de-alicante/patio-savillano/world/music/track/smithsonian,Guitar,54.9694960623,1
United States of America,Anglo-American,English,World,1980.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW37321/FW37321_02.mp3,FW37321_102,http://www.folkways.si.edu/morrigan/adieu-sweet-lovely-nancy/world/music/track/smithsonian,nan,29.5291314998,0
Philippines,,,World,,http://media.smithsonianfolkways.org/audio/samples/monitor/MON00428/MON00428_09.mp3,MON00428_109,http://www.folkways.si.edu/bayanihan-philippine-dance-company/mang-i-isda/world/music/track/smithsonian,nan,37.8466533986,0
South Africa,Mpondo,Xhosa,World,1957.0,http://media.smithsonianfolkways.org/audio/samples/ilam/ILAMTR033/ILAMTR033_03.mp3,ILAMTR033_103,http://www.folkways.si.edu/group-of-young-mpondo-married-women/kauvele-ubona/track/smithsonian,"Clapping, hand",42.3322382347,1
Greece,,,World,,http://media.smithsonianfolkways.org/audio/samples/monitor/MON00771/MON00771_05.mp3,MON00771_105,http://www.folkways.si.edu/chris-kalogerson-ensemble/haso-eliniko/world/music/track/smithsonian,nan,76.7166636914,1
Greece,Cretan,Greek,World,2000.0,http://media.smithsonianfolkways.org/audio/samples/smithsonian_folkways/SFW40437/SFW40437_02.mp3,SFW40437_102,http://www.folkways.si.edu/grigoris-mathioudakis-vassilis-kartsonakis-and-manolis-kartsonakis/khelidhonaki-mou-ghorgho/world/music/track/smithsonian,Violin,42.8093263917,0
Portugal,,,World,,http://media.smithsonianfolkways.org/audio/samples/monitor/MON00483/MON00483_04.mp3,MON00483_104,http://www.folkways.si.edu/celeste-rodrigues-and-manuel-fernandes/maria-severa/world/music/track/smithsonian,nan,30.2221210239,0
Vietnam,,,World,,http://media.smithsonianfolkways.org/audio/samples/monitor/MON00731/MON00731_04.mp3,MON00731_104,http://www.folkways.si.edu/vietnamese-national-song-and-dance-ensemble/tinh-quan-dan-people-and-fighters-unite/world/music/track/smithsonian,nan,30.4670323447,0
South Africa,Ngqika,Xhosa,World,1957.0,http://media.smithsonianfolkways.org/audio/samples/ilam/ILAMTR026/ILAMTR026_01.mp3,ILAMTR026_101,http://www.folkways.si.edu/iqela-labavuma-bakwa-zwelitsha-zwelitsha-choral-society/intsimbi-ka-ntsikana/track/smithsonian,Vocals,25.4604993219,0
Portugal,,,World,,http://media.smithsonianfolkways.org/audio/samples/monitor/MON00406/MON00406_03.mp3,MON00406_103,http://www.folkways.si.edu/manuel-fernandes-and-maria-do-espirito-santo/eu-ja-nao-sei-i-dont-know-any-more/world/music/track/smithsonian,Vocals,24.924577246,0
Greece,,,World,1989.0,http://media.smithsonianfolkways.org/audio/samples/monitor/MON61722/MON61722_05.mp3,MON61722_105,http://www.folkways.si.edu/elenis-and-athanasiou/se-oreo-perivoli/world/music/track/smithsonian,Bouzouki,40.5079856356,1
Greece,,,World,1989.0,http://media.smithsonianfolkways.org/audio/samples/monitor/MON61722/MON61722_10.mp3,MON61722_110,http://www.folkways.si.edu/elenis-and-athanasiou/zorba/world/music/track/smithsonian,Bouzouki,48.8604810335,1
Armenia,,,World,1950.0,http://media.smithsonianfolkways.org/audio/samples/folkways/FW08752/FW08752_12.mp3,FW08752_206,http://www.folkways.si.edu/armenian-folk-dance/world/music/track/smithsonian,nan,56.2709705958,1
